"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31","Cоздание курса","LMS service","Thu Aug 14 08:29:03 GMT 2025","passed","Thu Aug 14 08:29:03 GMT 2025","Create Entity","Courses","",""
"","29","Получение списка заданий","LMS service","Thu Aug 14 08:29:07 GMT 2025","passed","Thu Aug 14 08:29:07 GMT 2025","Get Entities","Exercises","",""
"","553","Создание пользователя c gmail.com","LMS service","Thu Aug 14 08:29:10 GMT 2025","passed","Thu Aug 14 08:29:10 GMT 2025","Create Entity","Users","",""
"","27","Создание файла","LMS service","Thu Aug 14 08:29:07 GMT 2025","passed","Thu Aug 14 08:29:07 GMT 2025","Create Entity","Files","",""
"","21","Удаление задания","LMS service","Thu Aug 14 08:29:05 GMT 2025","passed","Thu Aug 14 08:29:06 GMT 2025","Delete Entity","Exercises","",""
"","33","Получение курсов по пользователю","LMS service","Thu Aug 14 08:29:02 GMT 2025","passed","Thu Aug 14 08:29:02 GMT 2025","Get Entities","Courses","",""
"","554","Создание пользователя c mail.ru","LMS service","Thu Aug 14 08:29:09 GMT 2025","passed","Thu Aug 14 08:29:10 GMT 2025","Create Entity","Users","",""
"","22","Обновление задания","LMS service","Thu Aug 14 08:29:04 GMT 2025","passed","Thu Aug 14 08:29:04 GMT 2025","Update Entity","Exercises","",""
"","17","Получение файла","LMS service","Thu Aug 14 08:29:08 GMT 2025","passed","Thu Aug 14 08:29:08 GMT 2025","Get Entity","Files","",""
"","29","Создание задания","LMS service","Thu Aug 14 08:29:04 GMT 2025","passed","Thu Aug 14 08:29:04 GMT 2025","Create Entity","Exercises","",""
"","49","Получение задания","LMS service","Thu Aug 14 08:29:05 GMT 2025","passed","Thu Aug 14 08:29:05 GMT 2025","Get Entity","Exercises","",""
"","263","Создание файла с пустым именем","LMS service","Thu Aug 14 08:29:08 GMT 2025","passed","Thu Aug 14 08:29:08 GMT 2025","Validate Entity","Files","",""
"","292","Создание пользователя c example.com","LMS service","Thu Aug 14 08:29:10 GMT 2025","passed","Thu Aug 14 08:29:10 GMT 2025","Create Entity","Users","",""
"","259","Создание файла с пустым каталогом","LMS service","Thu Aug 14 08:29:09 GMT 2025","passed","Thu Aug 14 08:29:09 GMT 2025","Validate Entity","Files","",""
"","273","Получение файла с некорректным file_id","LMS service","Thu Aug 14 08:29:10 GMT 2025","passed","Thu Aug 14 08:29:10 GMT 2025","Validate Entity","Files","",""
"","554","Тест аутентификации пользователя c корректным логином и паролем","LMS service","Thu Aug 14 08:29:01 GMT 2025","passed","Thu Aug 14 08:29:02 GMT 2025","Login","Authentication","",""
"","13","Получение текущего пользователя","LMS service","Thu Aug 14 08:29:11 GMT 2025","passed","Thu Aug 14 08:29:11 GMT 2025","Get Entity","Users","",""
"","297","Удаление файла","LMS service","Thu Aug 14 08:29:09 GMT 2025","passed","Thu Aug 14 08:29:09 GMT 2025","Delete Entity","Files","",""
"","33","Обновление курса","LMS service","Thu Aug 14 08:29:03 GMT 2025","passed","Thu Aug 14 08:29:03 GMT 2025","Update Entity","Courses","",""
