"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","Получение файла","LMS service","Thu Jul 31 13:28:39 GMT 2025","passed","Thu Jul 31 13:28:39 GMT 2025","Get Entity","Files","",""
"","15","Получение задания","LMS service","Thu Jul 31 13:28:37 GMT 2025","passed","Thu Jul 31 13:28:37 GMT 2025","Get Entity","Exercises","",""
"","291","Создание задания","LMS service","Thu Jul 31 13:28:35 GMT 2025","passed","Thu Jul 31 13:28:35 GMT 2025","Create Entity","Exercises","",""
"","15","Получение списка заданий","LMS service","Thu Jul 31 13:28:38 GMT 2025","passed","Thu Jul 31 13:28:38 GMT 2025","Get Entities","Exercises","",""
"","24","Удаление файла","LMS service","Thu Jul 31 13:28:41 GMT 2025","passed","Thu Jul 31 13:28:41 GMT 2025","Delete Entity","Files","",""
"","290","Удаление задания","LMS service","Thu Jul 31 13:28:37 GMT 2025","passed","Thu Jul 31 13:28:38 GMT 2025","Delete Entity","Exercises","",""
"","554","Тест аутентификации пользователя c корректным логином и паролем","LMS service","Thu Jul 31 13:28:33 GMT 2025","passed","Thu Jul 31 13:28:33 GMT 2025","Login","Authentication","",""
"","265","Создание файла","LMS service","Thu Jul 31 13:28:38 GMT 2025","passed","Thu Jul 31 13:28:38 GMT 2025","Create Entity","Files","",""
"","28","Cоздание курса","LMS service","Thu Jul 31 13:28:34 GMT 2025","passed","Thu Jul 31 13:28:34 GMT 2025","Create Entity","Courses","",""
"","267","Получение файла с некорректным file_id","LMS service","Thu Jul 31 13:28:41 GMT 2025","passed","Thu Jul 31 13:28:41 GMT 2025","Validate Entity","Files","",""
"","267","Создание файла с пустым именем","LMS service","Thu Jul 31 13:28:39 GMT 2025","passed","Thu Jul 31 13:28:40 GMT 2025","Validate Entity","Files","",""
"","301","Получение курсов по пользователю","LMS service","Thu Jul 31 13:28:33 GMT 2025","passed","Thu Jul 31 13:28:34 GMT 2025","Get Entities","Courses","",""
"","293","Обновление задания","LMS service","Thu Jul 31 13:28:36 GMT 2025","passed","Thu Jul 31 13:28:36 GMT 2025","Update Entity","Exercises","",""
"","289","Создание пользователя c example.com","LMS service","Thu Jul 31 13:28:41 GMT 2025","passed","Thu Jul 31 13:28:42 GMT 2025","Create Entity","Users","",""
"","537","Создание пользователя c mail.ru","LMS service","Thu Jul 31 13:28:41 GMT 2025","passed","Thu Jul 31 13:28:41 GMT 2025","Create Entity","Users","",""
"","12","Получение текущего пользователя","LMS service","Thu Jul 31 13:28:43 GMT 2025","passed","Thu Jul 31 13:28:43 GMT 2025","Get Entity","Users","",""
"","301","Обновление курса","LMS service","Thu Jul 31 13:28:35 GMT 2025","passed","Thu Jul 31 13:28:35 GMT 2025","Update Entity","Courses","",""
"","552","Создание пользователя c gmail.com","LMS service","Thu Jul 31 13:28:41 GMT 2025","passed","Thu Jul 31 13:28:42 GMT 2025","Create Entity","Users","",""
"","265","Создание файла с пустым каталогом","LMS service","Thu Jul 31 13:28:40 GMT 2025","passed","Thu Jul 31 13:28:40 GMT 2025","Validate Entity","Files","",""
