"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","Удаление файла","LMS service","Thu Jul 31 12:01:30 GMT 2025","passed","Thu Jul 31 12:01:30 GMT 2025","Delete Entity","Files","",""
"","554","Тест аутентификации пользователя c корректным логином и паролем","LMS service","Thu Jul 31 12:01:22 GMT 2025","passed","Thu Jul 31 12:01:23 GMT 2025","Login","Authentication","",""
"","308","Обновление курса","LMS service","Thu Jul 31 12:01:24 GMT 2025","passed","Thu Jul 31 12:01:25 GMT 2025","Update Entity","Courses","",""
"","16","Получение текущего пользователя","LMS service","Thu Jul 31 12:01:32 GMT 2025","passed","Thu Jul 31 12:01:32 GMT 2025","Get Entity","Users","",""
"","262","Получение файла с некорректным file_id","LMS service","Thu Jul 31 12:01:31 GMT 2025","passed","Thu Jul 31 12:01:31 GMT 2025","Validate Entity","Files","",""
"","267","Создание файла с пустым именем","LMS service","Thu Jul 31 12:01:29 GMT 2025","passed","Thu Jul 31 12:01:29 GMT 2025","Validate Entity","Files","",""
"","290","Создание пользователя c example.com","LMS service","Thu Jul 31 12:01:31 GMT 2025","passed","Thu Jul 31 12:01:31 GMT 2025","Create Entity","Users","",""
"","263","Создание файла","LMS service","Thu Jul 31 12:01:28 GMT 2025","passed","Thu Jul 31 12:01:28 GMT 2025","Create Entity","Files","",""
"","293","Обновление задания","LMS service","Thu Jul 31 12:01:25 GMT 2025","passed","Thu Jul 31 12:01:26 GMT 2025","Update Entity","Exercises","",""
"","15","Получение списка заданий","LMS service","Thu Jul 31 12:01:27 GMT 2025","passed","Thu Jul 31 12:01:27 GMT 2025","Get Entities","Exercises","",""
"","531","Создание пользователя c mail.ru","LMS service","Thu Jul 31 12:01:30 GMT 2025","passed","Thu Jul 31 12:01:31 GMT 2025","Create Entity","Users","",""
"","29","Получение курсов по пользователю","LMS service","Thu Jul 31 12:01:23 GMT 2025","passed","Thu Jul 31 12:01:23 GMT 2025","Get Entities","Courses","",""
"","23","Создание задания","LMS service","Thu Jul 31 12:01:25 GMT 2025","passed","Thu Jul 31 12:01:25 GMT 2025","Create Entity","Exercises","",""
"","19","Получение задания","LMS service","Thu Jul 31 12:01:26 GMT 2025","passed","Thu Jul 31 12:01:26 GMT 2025","Get Entity","Exercises","",""
"","556","Создание пользователя c gmail.com","LMS service","Thu Jul 31 12:01:31 GMT 2025","passed","Thu Jul 31 12:01:31 GMT 2025","Create Entity","Users","",""
"","30","Cоздание курса","LMS service","Thu Jul 31 12:01:24 GMT 2025","passed","Thu Jul 31 12:01:24 GMT 2025","Create Entity","Courses","",""
"","265","Создание файла с пустым каталогом","LMS service","Thu Jul 31 12:01:29 GMT 2025","passed","Thu Jul 31 12:01:30 GMT 2025","Validate Entity","Files","",""
"","13","Получение файла","LMS service","Thu Jul 31 12:01:29 GMT 2025","passed","Thu Jul 31 12:01:29 GMT 2025","Get Entity","Files","",""
"","294","Удаление задания","LMS service","Thu Jul 31 12:01:27 GMT 2025","passed","Thu Jul 31 12:01:27 GMT 2025","Delete Entity","Exercises","",""
