"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","Удаление файла","LMS service","Thu Aug 07 08:12:34 GMT 2025","passed","Thu Aug 07 08:12:35 GMT 2025","Delete Entity","Files","",""
"","536","Создание пользователя c mail.ru","LMS service","Thu Aug 07 08:12:35 GMT 2025","passed","Thu Aug 07 08:12:35 GMT 2025","Create Entity","Users","",""
"","257","Создание файла","LMS service","Thu Aug 07 08:12:32 GMT 2025","passed","Thu Aug 07 08:12:32 GMT 2025","Create Entity","Files","",""
"","270","Получение файла с некорректным file_id","LMS service","Thu Aug 07 08:12:35 GMT 2025","passed","Thu Aug 07 08:12:35 GMT 2025","Validate Entity","Files","",""
"","15","Получение файла","LMS service","Thu Aug 07 08:12:33 GMT 2025","passed","Thu Aug 07 08:12:33 GMT 2025","Get Entity","Files","",""
"","257","Создание файла с пустым именем","LMS service","Thu Aug 07 08:12:33 GMT 2025","passed","Thu Aug 07 08:12:33 GMT 2025","Validate Entity","Files","",""
"","287","Создание задания","LMS service","Thu Aug 07 08:12:29 GMT 2025","passed","Thu Aug 07 08:12:29 GMT 2025","Create Entity","Exercises","",""
"","11","Получение текущего пользователя","LMS service","Thu Aug 07 08:12:36 GMT 2025","passed","Thu Aug 07 08:12:36 GMT 2025","Get Entity","Users","",""
"","298","Удаление задания","LMS service","Thu Aug 07 08:12:31 GMT 2025","passed","Thu Aug 07 08:12:31 GMT 2025","Delete Entity","Exercises","",""
"","284","Тест аутентификации пользователя c корректным логином и паролем","LMS service","Thu Aug 07 08:12:26 GMT 2025","passed","Thu Aug 07 08:12:27 GMT 2025","Login","Authentication","",""
"","288","Обновление задания","LMS service","Thu Aug 07 08:12:30 GMT 2025","passed","Thu Aug 07 08:12:30 GMT 2025","Update Entity","Exercises","",""
"","266","Создание файла с пустым каталогом","LMS service","Thu Aug 07 08:12:34 GMT 2025","passed","Thu Aug 07 08:12:34 GMT 2025","Validate Entity","Files","",""
"","16","Получение задания","LMS service","Thu Aug 07 08:12:30 GMT 2025","passed","Thu Aug 07 08:12:30 GMT 2025","Get Entity","Exercises","",""
"","298","Cоздание курса","LMS service","Thu Aug 07 08:12:28 GMT 2025","passed","Thu Aug 07 08:12:28 GMT 2025","Create Entity","Courses","",""
"","555","Создание пользователя c gmail.com","LMS service","Thu Aug 07 08:12:35 GMT 2025","passed","Thu Aug 07 08:12:36 GMT 2025","Create Entity","Users","",""
"","306","Обновление курса","LMS service","Thu Aug 07 08:12:28 GMT 2025","passed","Thu Aug 07 08:12:29 GMT 2025","Update Entity","Courses","",""
"","15","Получение списка заданий","LMS service","Thu Aug 07 08:12:32 GMT 2025","passed","Thu Aug 07 08:12:32 GMT 2025","Get Entities","Exercises","",""
"","287","Создание пользователя c example.com","LMS service","Thu Aug 07 08:12:35 GMT 2025","passed","Thu Aug 07 08:12:35 GMT 2025","Create Entity","Users","",""
"","300","Получение курсов по пользователю","LMS service","Thu Aug 07 08:12:27 GMT 2025","passed","Thu Aug 07 08:12:28 GMT 2025","Get Entities","Courses","",""
