"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","Получение файла","LMS service","Fri Aug 01 07:52:02 GMT 2025","passed","Fri Aug 01 07:52:02 GMT 2025","Get Entity","Files","",""
"","23","Обновление задания","LMS service","Fri Aug 01 07:51:58 GMT 2025","passed","Fri Aug 01 07:51:58 GMT 2025","Update Entity","Exercises","",""
"","289","Создание пользователя c example.com","LMS service","Fri Aug 01 07:52:04 GMT 2025","passed","Fri Aug 01 07:52:04 GMT 2025","Create Entity","Users","",""
"","20","Удаление задания","LMS service","Fri Aug 01 07:51:59 GMT 2025","passed","Fri Aug 01 07:51:59 GMT 2025","Delete Entity","Exercises","",""
"","32","Обновление курса","LMS service","Fri Aug 01 07:51:57 GMT 2025","passed","Fri Aug 01 07:51:57 GMT 2025","Update Entity","Courses","",""
"","30","Cоздание курса","LMS service","Fri Aug 01 07:51:57 GMT 2025","passed","Fri Aug 01 07:51:57 GMT 2025","Create Entity","Courses","",""
"","297","Удаление файла","LMS service","Fri Aug 01 07:52:03 GMT 2025","passed","Fri Aug 01 07:52:03 GMT 2025","Delete Entity","Files","",""
"","14","Создание файла с пустым именем","LMS service","Fri Aug 01 07:52:02 GMT 2025","passed","Fri Aug 01 07:52:02 GMT 2025","Validate Entity","Files","",""
"","272","Получение файла с некорректным file_id","LMS service","Fri Aug 01 07:52:03 GMT 2025","passed","Fri Aug 01 07:52:04 GMT 2025","Validate Entity","Files","",""
"","22","Получение задания","LMS service","Fri Aug 01 07:51:59 GMT 2025","passed","Fri Aug 01 07:51:59 GMT 2025","Get Entity","Exercises","",""
"","555","Создание пользователя c mail.ru","LMS service","Fri Aug 01 07:52:03 GMT 2025","passed","Fri Aug 01 07:52:04 GMT 2025","Create Entity","Users","",""
"","21","Создание задания","LMS service","Fri Aug 01 07:51:58 GMT 2025","passed","Fri Aug 01 07:51:58 GMT 2025","Create Entity","Exercises","",""
"","15","Получение текущего пользователя","LMS service","Fri Aug 01 07:52:05 GMT 2025","passed","Fri Aug 01 07:52:05 GMT 2025","Get Entity","Users","",""
"","259","Создание файла с пустым каталогом","LMS service","Fri Aug 01 07:52:02 GMT 2025","passed","Fri Aug 01 07:52:03 GMT 2025","Validate Entity","Files","",""
"","554","Создание пользователя c gmail.com","LMS service","Fri Aug 01 07:52:04 GMT 2025","passed","Fri Aug 01 07:52:04 GMT 2025","Create Entity","Users","",""
"","19","Создание файла","LMS service","Fri Aug 01 07:52:00 GMT 2025","passed","Fri Aug 01 07:52:00 GMT 2025","Create Entity","Files","",""
"","290","Получение списка заданий","LMS service","Fri Aug 01 07:52:00 GMT 2025","passed","Fri Aug 01 07:52:00 GMT 2025","Get Entities","Exercises","",""
"","27","Получение курсов по пользователю","LMS service","Fri Aug 01 07:51:56 GMT 2025","passed","Fri Aug 01 07:51:56 GMT 2025","Get Entities","Courses","",""
"","562","Тест аутентификации пользователя c корректным логином и паролем","LMS service","Fri Aug 01 07:51:55 GMT 2025","passed","Fri Aug 01 07:51:56 GMT 2025","Login","Authentication","",""
