"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27","Создание задания","LMS service","Wed Aug 06 17:42:04 GMT 2025","passed","Wed Aug 06 17:42:04 GMT 2025","Create Entity","Exercises","",""
"","23","Создание файла","LMS service","Wed Aug 06 17:42:06 GMT 2025","passed","Wed Aug 06 17:42:06 GMT 2025","Create Entity","Files","",""
"","30","Обновление курса","LMS service","Wed Aug 06 17:42:03 GMT 2025","passed","Wed Aug 06 17:42:03 GMT 2025","Update Entity","Courses","",""
"","290","Создание пользователя c example.com","LMS service","Wed Aug 06 17:42:09 GMT 2025","passed","Wed Aug 06 17:42:10 GMT 2025","Create Entity","Users","",""
"","562","Создание пользователя c gmail.com","LMS service","Wed Aug 06 17:42:09 GMT 2025","passed","Wed Aug 06 17:42:10 GMT 2025","Create Entity","Users","",""
"","21","Удаление задания","LMS service","Wed Aug 06 17:42:05 GMT 2025","passed","Wed Aug 06 17:42:05 GMT 2025","Delete Entity","Exercises","",""
"","31","Cоздание курса","LMS service","Wed Aug 06 17:42:02 GMT 2025","passed","Wed Aug 06 17:42:03 GMT 2025","Create Entity","Courses","",""
"","259","Создание файла с пустым именем","LMS service","Wed Aug 06 17:42:07 GMT 2025","passed","Wed Aug 06 17:42:07 GMT 2025","Validate Entity","Files","",""
"","19","Получение файла","LMS service","Wed Aug 06 17:42:07 GMT 2025","passed","Wed Aug 06 17:42:07 GMT 2025","Get Entity","Files","",""
"","552","Тест аутентификации пользователя c корректным логином и паролем","LMS service","Wed Aug 06 17:42:01 GMT 2025","passed","Wed Aug 06 17:42:01 GMT 2025","Login","Authentication","",""
"","264","Получение файла с некорректным file_id","LMS service","Wed Aug 06 17:42:09 GMT 2025","passed","Wed Aug 06 17:42:09 GMT 2025","Validate Entity","Files","",""
"","20","Получение списка заданий","LMS service","Wed Aug 06 17:42:06 GMT 2025","passed","Wed Aug 06 17:42:06 GMT 2025","Get Entities","Exercises","",""
"","13","Получение текущего пользователя","LMS service","Wed Aug 06 17:42:11 GMT 2025","passed","Wed Aug 06 17:42:11 GMT 2025","Get Entity","Users","",""
"","259","Создание файла с пустым каталогом","LMS service","Wed Aug 06 17:42:08 GMT 2025","passed","Wed Aug 06 17:42:08 GMT 2025","Validate Entity","Files","",""
"","28","Обновление задания","LMS service","Wed Aug 06 17:42:04 GMT 2025","passed","Wed Aug 06 17:42:04 GMT 2025","Update Entity","Exercises","",""
"","30","Получение курсов по пользователю","LMS service","Wed Aug 06 17:42:01 GMT 2025","passed","Wed Aug 06 17:42:01 GMT 2025","Get Entities","Courses","",""
"","48","Получение задания","LMS service","Wed Aug 06 17:42:05 GMT 2025","passed","Wed Aug 06 17:42:05 GMT 2025","Get Entity","Exercises","",""
"","295","Удаление файла","LMS service","Wed Aug 06 17:42:08 GMT 2025","passed","Wed Aug 06 17:42:09 GMT 2025","Delete Entity","Files","",""
"","547","Создание пользователя c mail.ru","LMS service","Wed Aug 06 17:42:09 GMT 2025","passed","Wed Aug 06 17:42:09 GMT 2025","Create Entity","Users","",""
