"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","262","Получение файла с некорректным file_id","LMS service","Thu Jul 31 13:25:56 GMT 2025","passed","Thu Jul 31 13:25:56 GMT 2025","Validate Entity","Files","",""
"","15","Создание файла с пустым именем","LMS service","Thu Jul 31 13:25:54 GMT 2025","passed","Thu Jul 31 13:25:54 GMT 2025","Validate Entity","Files","",""
"","29","Cоздание курса","LMS service","Thu Jul 31 13:25:49 GMT 2025","passed","Thu Jul 31 13:25:49 GMT 2025","Create Entity","Courses","",""
"","287","Получение списка заданий","LMS service","Thu Jul 31 13:25:52 GMT 2025","passed","Thu Jul 31 13:25:53 GMT 2025","Get Entities","Exercises","",""
"","23","Обновление задания","LMS service","Thu Jul 31 13:25:50 GMT 2025","passed","Thu Jul 31 13:25:50 GMT 2025","Update Entity","Exercises","",""
"","553","Тест аутентификации пользователя c корректным логином и паролем","LMS service","Thu Jul 31 13:25:47 GMT 2025","passed","Thu Jul 31 13:25:48 GMT 2025","Login","Authentication","",""
"","294","Удаление файла","LMS service","Thu Jul 31 13:25:55 GMT 2025","passed","Thu Jul 31 13:25:55 GMT 2025","Delete Entity","Files","",""
"","550","Создание пользователя c gmail.com","LMS service","Thu Jul 31 13:25:56 GMT 2025","passed","Thu Jul 31 13:25:56 GMT 2025","Create Entity","Users","",""
"","30","Получение курсов по пользователю","LMS service","Thu Jul 31 13:25:48 GMT 2025","passed","Thu Jul 31 13:25:48 GMT 2025","Get Entities","Courses","",""
"","12","Получение файла","LMS service","Thu Jul 31 13:25:54 GMT 2025","passed","Thu Jul 31 13:25:54 GMT 2025","Get Entity","Files","",""
"","287","Создание пользователя c example.com","LMS service","Thu Jul 31 13:25:56 GMT 2025","passed","Thu Jul 31 13:25:56 GMT 2025","Create Entity","Users","",""
"","264","Создание файла с пустым каталогом","LMS service","Thu Jul 31 13:25:55 GMT 2025","passed","Thu Jul 31 13:25:55 GMT 2025","Validate Entity","Files","",""
"","544","Создание пользователя c mail.ru","LMS service","Thu Jul 31 13:25:55 GMT 2025","passed","Thu Jul 31 13:25:56 GMT 2025","Create Entity","Users","",""
"","31","Обновление курса","LMS service","Thu Jul 31 13:25:49 GMT 2025","passed","Thu Jul 31 13:25:49 GMT 2025","Update Entity","Courses","",""
"","22","Удаление задания","LMS service","Thu Jul 31 13:25:52 GMT 2025","passed","Thu Jul 31 13:25:52 GMT 2025","Delete Entity","Exercises","",""
"","21","Получение задания","LMS service","Thu Jul 31 13:25:51 GMT 2025","passed","Thu Jul 31 13:25:51 GMT 2025","Get Entity","Exercises","",""
"","18","Создание файла","LMS service","Thu Jul 31 13:25:53 GMT 2025","passed","Thu Jul 31 13:25:53 GMT 2025","Create Entity","Files","",""
"","15","Получение текущего пользователя","LMS service","Thu Jul 31 13:25:57 GMT 2025","passed","Thu Jul 31 13:25:57 GMT 2025","Get Entity","Users","",""
"","25","Создание задания","LMS service","Thu Jul 31 13:25:50 GMT 2025","passed","Thu Jul 31 13:25:50 GMT 2025","Create Entity","Exercises","",""
