"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","293","Создание пользователя c example.com","LMS service","Fri Aug 01 06:30:20 GMT 2025","passed","Fri Aug 01 06:30:20 GMT 2025","Create Entity","Users","",""
"","29","Cоздание курса","LMS service","Fri Aug 01 06:30:13 GMT 2025","passed","Fri Aug 01 06:30:13 GMT 2025","Create Entity","Courses","",""
"","21","Удаление задания","LMS service","Fri Aug 01 06:30:16 GMT 2025","passed","Fri Aug 01 06:30:16 GMT 2025","Delete Entity","Exercises","",""
"","28","Получение курсов по пользователю","LMS service","Fri Aug 01 06:30:12 GMT 2025","passed","Fri Aug 01 06:30:12 GMT 2025","Get Entities","Courses","",""
"","574","Создание пользователя c gmail.com","LMS service","Fri Aug 01 06:30:20 GMT 2025","passed","Fri Aug 01 06:30:20 GMT 2025","Create Entity","Users","",""
"","298","Удаление файла","LMS service","Fri Aug 01 06:30:19 GMT 2025","passed","Fri Aug 01 06:30:19 GMT 2025","Delete Entity","Files","",""
"","287","Получение списка заданий","LMS service","Fri Aug 01 06:30:16 GMT 2025","passed","Fri Aug 01 06:30:17 GMT 2025","Get Entities","Exercises","",""
"","17","Создание файла с пустым именем","LMS service","Fri Aug 01 06:30:18 GMT 2025","passed","Fri Aug 01 06:30:18 GMT 2025","Validate Entity","Files","",""
"","18","Создание файла","LMS service","Fri Aug 01 06:30:17 GMT 2025","passed","Fri Aug 01 06:30:17 GMT 2025","Create Entity","Files","",""
"","21","Обновление задания","LMS service","Fri Aug 01 06:30:14 GMT 2025","passed","Fri Aug 01 06:30:14 GMT 2025","Update Entity","Exercises","",""
"","550","Создание пользователя c mail.ru","LMS service","Fri Aug 01 06:30:19 GMT 2025","passed","Fri Aug 01 06:30:20 GMT 2025","Create Entity","Users","",""
"","553","Тест аутентификации пользователя c корректным логином и паролем","LMS service","Fri Aug 01 06:30:11 GMT 2025","passed","Fri Aug 01 06:30:12 GMT 2025","Login","Authentication","",""
"","263","Создание файла с пустым каталогом","LMS service","Fri Aug 01 06:30:19 GMT 2025","passed","Fri Aug 01 06:30:19 GMT 2025","Validate Entity","Files","",""
"","262","Получение файла с некорректным file_id","LMS service","Fri Aug 01 06:30:20 GMT 2025","passed","Fri Aug 01 06:30:20 GMT 2025","Validate Entity","Files","",""
"","25","Создание задания","LMS service","Fri Aug 01 06:30:14 GMT 2025","passed","Fri Aug 01 06:30:14 GMT 2025","Create Entity","Exercises","",""
"","36","Обновление курса","LMS service","Fri Aug 01 06:30:13 GMT 2025","passed","Fri Aug 01 06:30:13 GMT 2025","Update Entity","Courses","",""
"","22","Получение задания","LMS service","Fri Aug 01 06:30:15 GMT 2025","passed","Fri Aug 01 06:30:15 GMT 2025","Get Entity","Exercises","",""
"","15","Получение файла","LMS service","Fri Aug 01 06:30:18 GMT 2025","passed","Fri Aug 01 06:30:18 GMT 2025","Get Entity","Files","",""
"","13","Получение текущего пользователя","LMS service","Fri Aug 01 06:30:21 GMT 2025","passed","Fri Aug 01 06:30:21 GMT 2025","Get Entity","Users","",""
